Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume
BEN,1.46,0.53,0.0359,0.1023,0.0575,-0.1149,0.3271,63.76,21.57,-0.0021,1.53%,-0.0171,1441850.0
BF-B,0.63,0.86,-0.0225,-0.0098,-0.1373,-0.3188,0.115,44.21,33.99,-0.0072,0.31%,-0.0102,490281.0
BG,0.66,2.26,-0.0148,0.0105,-0.0703,-0.321,0.1577,47.85,78.03,0.003,1.36%,-0.0105,381256.0
BHP,0.95,0.99,0.0113,0.0345,-0.0379,-0.21280000000000002,0.2525,55.55,49.76,0.0124,1.29%,-0.0004,1086576.0
BIDU,0.34,3.04,-0.0537,-0.058499999999999996,-0.059000000000000004,-0.2781,0.1233,39.83,83.92,-0.0018,0.26%,-0.0044,2246617.0
BIIB,0.13,3.71,0.0227,-0.005,-0.2064,-0.473,0.1399,52.41,125.43,-0.0069,0.92%,-0.016,368939.0
BIRK,1.56,2.15,-0.0017000000000000001,0.083,0.0311,-0.17620000000000002,0.3157,53.02,53.37,-0.030600000000000002,3.60%,-0.0643,1967604.0
BJ,0.49,3.43,0.0032,0.0143,0.19260000000000002,-0.0414,0.5209,52.11,116.09,0.001,0.22%,-0.0012,530915.0
BK,1.08,1.83,0.0425,0.08560000000000001,0.1396,-0.0147,0.5616,68.9,89.29,0.0013,1.28%,-0.0113,1424614.0
BKR,0.9,1.11,-0.0049,-0.0611,-0.0837,-0.25739999999999996,0.1861,43.41,36.69,0.0026,1.82%,-0.015300000000000001,1746622.0
BLDR,1.73,4.8,-0.0575,-0.0971,-0.3064,-0.4681,0.0408,40.24,108.04,-0.0163,1.39%,-0.029900000000000003,755902.0
BMRN,0.2,1.88,-0.0449,-0.0892,-0.16570000000000001,-0.3933,0.0873,38.19,57.55,-0.0079,0.24%,-0.0103,520775.0
BMY,0.39,1.45,-0.015700000000000002,-0.1016,-0.1329,-0.2585,0.19329999999999997,42.47,46.96,-0.0015,0.06%,-0.0021,4044443.0
BN,1.68,1.59,0.0115,0.0767,0.054900000000000004,-0.08439999999999999,0.43810000000000004,56.73,57.48,0.0054,1.84%,-0.0128,641171.0
BNS,1.12,0.6,0.0316,0.0718,0.022099999999999998,-0.0839,0.19699999999999998,76.07,52.28,0.0128,1.42%,-0.0014000000000000002,744482.0
BNTX,1.32,5.04,-0.0052,-0.0028000000000000004,-0.0916,-0.2586,0.2738,48.92,97.49,-0.016,0.09%,-0.0169,302568.0
BP,0.5,0.73,-0.0005,-0.036000000000000004,-0.0672,-0.2271,0.1514,47.42,29.05,0.0036,1.41%,-0.0104,5273784.0
BRK-B,0.86,9.18,-0.024700000000000003,-0.0315,0.053200000000000004,-0.0712,0.25370000000000004,41.4,503.47,-0.0002,0.57%,-0.0059,1644950.0
BRO,0.84,2.43,0.0015,-0.04190000000000001,0.0187,-0.1174,0.2902,45.25,110.92,0.0044,0.83%,-0.0039000000000000003,513488.0
BROS,2.72,3.29,0.0464,0.0908,0.3223,-0.2118,1.5400999999999998,55.9,68.48,0.0003,2.96%,-0.0285,1172086.0
BSX,0.69,2.06,0.0054,0.0437,0.1286,-0.0235,0.456,57.87,104.65,0.0015,0.77%,-0.0060999999999999995,1813008.0
BSY,1.07,1.06,0.030299999999999997,0.0933,0.0144,-0.1118,0.3007,63.27,47.49,-0.0034000000000000002,0.36%,-0.0069,338827.0
BTI,0.32,0.82,0.050499999999999996,0.0775,0.1759,0.0103,0.5078,66.38,45.25,0.0146,0.56%,0.009000000000000001,2789986.0
BUD,0.83,0.98,0.0346,0.0725,0.1677,0.0005,0.5038,67.61,69.08,0.0108,1.02%,0.0006,1033131.0
BURL,1.7,10.15,-0.0443,-0.012199999999999999,-0.0904,-0.207,0.2908,43.02,237.01,-0.08529999999999999,-2.92%,-0.057699999999999994,1023421.0
BWXT,0.6,3.59,0.076,0.1282,0.0632,-0.1365,0.39770000000000005,69.94,117.7,0.09369999999999999,4.16%,0.05,1147637.0
BX,1.65,4.96,-0.0208,-0.008,-0.1274,-0.31670000000000004,0.1909,46.06,136.86,-0.0005,2.52%,-0.025,1236289.0
BXP,1.18,1.81,-0.0098,-0.0060999999999999995,-0.11789999999999999,-0.2811,0.1948,47.16,64.78,0.0023,1.14%,-0.009000000000000001,520677.0
C,1.31,1.93,0.0126,0.0594,0.0634,-0.1355,0.369,56.11,73.25,-0.0022,2.24%,-0.0241,4100736.0
CAG,0.14,0.53,-0.04,-0.0993,-0.18719999999999998,-0.3287,0.0152,32.34,22.31,0.0002,-0.16%,0.0018,3532548.0
CAH,0.67,3.27,0.0231,0.0943,0.23829999999999998,-0.023700000000000002,0.6393,65.08,152.73,0.0016,0.38%,-0.0022,692464.0
CARR,1.33,2.06,0.006,0.0825,0.0126,-0.1461,0.3122,55.34,71.15,-0.0086,0.72%,-0.015700000000000002,2176917.0
CART,1.35,1.69,0.06570000000000001,0.1268,0.1229,-0.11560000000000001,0.5838,63.57,47.26,0.0049,1.39%,-0.0089,1571523.0
CAT,1.37,8.74,0.0336,0.0706,-0.0379,-0.1778,0.2872,60.75,344.08,-0.0032,1.76%,-0.0204,907165.0
CB,0.55,5.36,-0.0055000000000000005,-0.0086,0.015,-0.0663,0.1398,47.89,286.58,-0.0018,-0.33%,0.0015,258051.0
CBOE,0.42,5.7,0.029500000000000002,0.0528,0.1041,-0.020499999999999997,0.39159999999999995,60.51,231.19,0.0121,2.03%,-0.008100000000000001,298646.0
CBRE,1.29,3.73,-0.0326,-0.0241,-0.048600000000000004,-0.1752,0.44659999999999994,43.5,121.86,0.011899999999999999,2.03%,-0.008199999999999999,1009388.0
CCEP,0.74,1.57,0.0048,0.023,0.1051,-0.0215,0.2625,55.38,89.41,0.0092,1.08%,-0.0016,590430.0
CCI,0.9,2.49,-0.027999999999999997,-0.022000000000000002,-0.0246,-0.17309999999999998,0.1875,44.93,99.99,0.0007000000000000001,-0.79%,0.0086,829703.0
CCJ,0.91,2.02,0.161,0.2876,0.2065,-0.07339999999999999,0.6559999999999999,78.82,57.96,0.0975,3.21%,0.0634,8759306.0
CCK,0.76,2.0,-0.0012,0.0679,0.0824,-0.028900000000000002,0.374,58.12,97.34,-0.0076,-0.23%,-0.0053,376868.0
CCL,2.57,0.86,0.0576,0.1206,0.0344,-0.2256,0.6139,60.4,22.24,-0.0085,2.35%,-0.031200000000000002,9072798.0
CDNS,1.03,7.87,0.0189,0.1334,0.12300000000000001,-0.038,0.42840000000000006,65.67,316.48,-0.0005,1.42%,-0.014499999999999999,436779.0
CDW,0.95,5.03,0.0277,0.0971,-0.0424,-0.24559999999999998,0.32549999999999996,58.97,182.01,-0.0075,1.96%,-0.026600000000000002,645696.0
CEG,1.11,11.61,0.1124,0.2902,0.2316,-0.1466,0.9305,72.09,300.38,0.030600000000000002,0.61%,0.024300000000000002,3036312.0
CF,0.94,2.47,0.060700000000000004,0.1291,0.0697,-0.09300000000000001,0.3234,71.97,89.11,0.0023,0.57%,-0.0034000000000000002,490465.0
CFG,1.07,1.15,0.0022,0.022400000000000003,-0.068,-0.1948,0.2164,50.92,39.65,-0.0029,2.18%,-0.0241,1650946.0
CG,1.83,1.85,0.0298,0.0702,-0.046799999999999994,-0.22920000000000001,0.3422,55.03,44.32,-0.0025,2.40%,-0.0259,1123683.0
CHD,0.51,2.14,0.0126,-0.0528,-0.0794,-0.1759,0.0548,46.14,95.98,0.008100000000000001,0.56%,0.0025,825289.0
CHRW,0.91,2.42,0.0259,0.013600000000000001,-0.0572,-0.1641,0.16820000000000002,53.46,95.98,-0.005600000000000001,0.50%,-0.0106,365185.0
CHTR,1.1,12.26,0.009899999999999999,0.09380000000000001,0.1359,-0.0666,0.5334,57.98,407.97,-0.0048,0.93%,-0.0139,539014.0
CHWY,1.74,1.42,0.0962,0.2115,0.3243,-0.018500000000000003,1.7267,75.89,43.79,-0.0032,-0.05%,-0.0027,3224787.0
CI,0.45,8.43,-0.0325,-0.0342,-0.0218,-0.1532,0.1984,42.76,314.03,0.0043,-0.05%,0.0049,868836.0
CIEN,1.11,2.79,0.0557,0.18789999999999998,0.14150000000000001,-0.21109999999999998,0.7906,69.09,80.02,-0.0012,2.58%,-0.0263,291526.0
CL,0.38,1.81,0.0179,0.0067,-0.025,-0.15539999999999998,0.08199999999999999,54.36,92.32,0.015600000000000001,0.42%,0.0113,3387950.0
CLS,1.74,5.95,0.1797,0.32030000000000003,0.4413,-0.165,1.993,73.28,120.47,0.0182,3.51%,-0.0163,2012220.0
CLX,0.55,2.99,-0.0412,-0.0678,-0.1535,-0.2377,0.023799999999999998,36.65,130.64,-0.002,-0.53%,0.0034000000000000002,525556.0
CM,1.08,0.98,0.054299999999999994,0.12869999999999998,0.11869999999999999,0.011899999999999999,0.4524,81.84,68.25,0.0194,2.26%,-0.0031,426652.0
CMCSA,0.95,0.72,0.0003,-0.009300000000000001,-0.09390000000000001,-0.2359,0.1011,48.58,34.62,0.0009,1.11%,-0.0101,5322401.0
CME,0.46,5.32,0.0271,0.06309999999999999,0.2045,-0.0048,0.5322,64.41,285.11,0.011000000000000001,1.17%,-0.0007000000000000001,908073.0
CMG,1.08,1.35,-0.009399999999999999,0.012199999999999999,-0.0907,-0.2698,0.1375,48.87,50.57,-0.0040999999999999995,0.24%,-0.006500000000000001,4371012.0
CMS,0.38,1.54,-0.0297,-0.0403,-0.0005,-0.08929999999999999,0.19010000000000002,40.46,69.62,0.0037,-0.43%,0.008100000000000001,687108.0
CNC,0.47,2.13,-0.069,-0.0724,-0.1229,-0.30260000000000004,0.021400000000000002,36.87,56.21,-0.0321,-3.59%,0.004,2777860.0
CNH,1.55,0.41,0.0033,0.0447,0.0981,-0.07719999999999999,0.3788,52.25,12.8,-0.0127,0.43%,-0.017,10471105.0
CNI,1.0,2.08,0.030299999999999997,0.058899999999999994,-0.0072,-0.1759,0.15259999999999999,59.85,105.64,-0.0055000000000000005,0.32%,-0.0087,437979.0
CNM,1.02,1.52,0.004,0.052300000000000006,0.08220000000000001,-0.12560000000000002,0.42579999999999996,54.37,53.07,-0.003,1.28%,-0.015600000000000001,263891.0
CNP,0.59,0.68,-0.0106,0.0128,0.1629,-0.0472,0.47369999999999995,51.06,37.45,0.0083,0.21%,0.0062,927897.0
CNQ,1.07,0.83,0.0278,0.045599999999999995,-0.0336,-0.2041,0.2546,57.7,30.92,0.0034000000000000002,1.13%,-0.0078000000000000005,1570954.0
COF,1.13,6.44,-0.0248,0.039599999999999996,0.0701,-0.1207,0.4446,48.3,185.24,-0.0176,0.91%,-0.0265,1957878.0
COHR,1.87,3.9,0.0547,0.16760000000000003,-0.0737,-0.3147,0.7079000000000001,62.69,77.85,-0.0131,2.16%,-0.034,1094418.0
COIN,3.69,14.48,0.1564,0.31980000000000003,0.16620000000000001,-0.243,0.8569,65.83,264.75,-0.0265,0.59%,-0.0322,6610857.0
COO,1.04,2.16,-0.032799999999999996,-0.021,-0.1625,-0.2987,0.12890000000000001,42.82,78.81,-0.0062,0.56%,-0.011699999999999999,603186.0
COP,0.62,2.81,-0.051100000000000007,-0.0805,-0.1597,-0.2838,0.0689,37.91,85.38,-0.0087,0.40%,-0.0127,2715399.0
COR,0.58,6.33,0.0128,0.0401,0.1729,-0.053899999999999997,0.3628,57.59,292.69,0.0089,0.13%,0.0076,460719.0
COST,1.0,20.82,0.0036,0.044199999999999996,0.07200000000000001,-0.0603,0.28550000000000003,54.76,1013.22,-0.0048,0.12%,-0.006,657996.0
CP,1.1,1.61,0.0493,0.0873,0.0424,-0.08039999999999999,0.2133,65.75,80.67,0.0034000000000000002,1.51%,-0.0116,883062.0
CPNG,1.13,0.81,0.068,0.16390000000000002,0.1562,-0.0097,0.5121,72.65,27.46,0.0066,1.40%,-0.0073,3619190.0
CPRT,1.17,1.65,-0.11810000000000001,-0.0796,-0.0406,-0.1617,0.1232,27.15,53.97,-0.1103,-6.87%,-0.0447,12860459.0
CPT,0.79,2.54,-0.0336,-0.027999999999999997,-0.047,-0.1127,0.1558,41.13,113.06,-0.011699999999999999,-1.02%,-0.0016,656749.0
CRBG,1.05,1.05,0.008100000000000001,0.042699999999999995,0.0397,-0.10210000000000001,0.34020000000000006,54.52,31.75,0.0032,2.68%,-0.0231,1401103.0
CRDO,2.41,3.36,0.14550000000000002,0.32380000000000003,0.2489,-0.2927,2.2303,71.49,61.31,0.0087,3.50%,-0.0253,1023400.0
CRH,1.25,2.77,-0.0176,0.0235,0.0011,-0.15,0.32530000000000003,49.38,94.33,-0.0087,1.46%,-0.023,1758279.0
CRM,1.41,6.72,-0.0004,0.0348,-0.0526,-0.2418,0.3197,52.09,279.77,-0.0129,0.28%,-0.015600000000000001,2689745.0
CRWD,1.15,17.39,0.054000000000000006,0.161,0.3188,0.0069,1.2845,64.56,458.75,0.0331,4.62%,-0.0125,2505351.0
CRWV,,9.54,0.5936,0.904,0.904,-0.1033,2.1180000000000003,77.75,104.5,0.0433,6.63%,-0.0216,25401023.0
CSCO,0.88,1.32,0.035699999999999996,0.061500000000000006,0.098,-0.0527,0.4156,63.18,62.99,-0.0058,0.41%,-0.0098,6037424.0
CSGP,0.89,2.08,-0.0294,-0.0492,-0.0281,-0.1518,0.08449999999999999,41.78,74.03,-0.0016,0.87%,-0.0101,641501.0
CSX,1.22,0.66,0.0408,0.060700000000000004,-0.049,-0.1691,0.1757,62.1,30.83,0.006,2.00%,-0.0137,9197936.0
CTAS,1.06,4.07,0.031,0.0748,0.087,-0.024399999999999998,0.3494,66.71,222.56,0.0040999999999999995,1.16%,-0.0075,474624.0
CTRA,0.34,0.78,0.0006,-0.0567,-0.042300000000000004,-0.1818,0.0989,46.71,24.5,0.0039000000000000003,1.05%,-0.0066,2027770.0
CTSH,0.97,1.77,0.0089,0.04769999999999999,0.0148,-0.1267,0.2433,55.91,79.31,-0.0074,0.49%,-0.0123,1067225.0
CTVA,0.74,1.35,0.048499999999999995,0.1017,0.1516,-0.0055000000000000005,0.38049999999999995,73.61,69.04,0.0066,0.92%,-0.0026,763710.0
CVE,0.95,0.5,0.0508,0.0554,-0.1124,-0.3593,0.3201,58.88,13.51,0.0139,2.70%,-0.0128,7134459.0
CVNA,3.63,14.92,0.10220000000000001,0.3196,0.43420000000000003,-0.018799999999999997,2.137,67.07,306.02,0.0125,2.86%,-0.015700000000000002,1344947.0
CVS,0.55,2.07,-0.0613,-0.086,0.0165,-0.16760000000000003,0.3857,37.61,60.36,0.0023,-0.43%,0.0066,3801449.0
CVX,0.8,3.15,-0.016,-0.0669,-0.0928,-0.19469999999999998,0.0304,41.04,136.06,0.005699999999999999,1.24%,-0.0067,3529033.0
CX,1.42,0.21,0.08990000000000001,0.19219999999999998,0.2016,-0.0745,0.46299999999999997,77.78,7.15,0.022000000000000002,3.83%,-0.015700000000000002,9781624.0
D,0.55,1.37,0.0192,0.0345,0.0066,-0.0933,0.1709,56.39,56.19,0.0095,0.34%,0.0060999999999999995,3094739.0
DAL,1.51,2.05,0.0163,0.0762,-0.09759999999999999,-0.3132,0.3836,53.02,48.06,-0.0091,2.08%,-0.029300000000000003,4236364.0
DASH,1.66,7.89,0.050199999999999995,0.092,0.2138,-0.0444,1.0709,60.58,205.68,0.0239,4.03%,-0.015700000000000002,1884873.0
DB,0.99,0.63,0.0018,0.0919,0.3936,-0.057999999999999996,0.9984999999999999,57.07,27.38,-0.038,0.81%,-0.045700000000000005,3064796.0
DD,1.05,2.0,0.0003,-0.0058,-0.1333,-0.2516,0.2535,49.92,67.4,-0.009000000000000001,0.94%,-0.0182,715217.0
DDOG,1.0,3.56,0.0378,0.1142,-0.06480000000000001,-0.3245,0.40740000000000004,61.15,114.89,-0.0067,1.13%,-0.0178,1346716.0
DE,1.11,12.96,0.0334,0.0764,0.16670000000000001,-0.0421,0.5029,60.57,511.3,-0.0084,0.07%,-0.0091,399799.0
DECK,1.09,6.8,-0.1524,-0.1134,-0.3514,-0.5443,0.08900000000000001,34.21,102.06,-0.1906,3.84%,-0.2205,14189846.0
DELL,1.0,3.95,0.0913,0.1857,0.013000000000000001,-0.3761,0.6923999999999999,70.17,112.11,0.0014000000000000002,2.22%,-0.0204,2248896.0
DEO,0.59,1.99,-0.0344,-0.0033,-0.0932,-0.23370000000000002,0.0859,40.56,109.37,-0.0134,0.97%,-0.0229,606276.0
