Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume
AME,41110000000.0,0.0068000000000000005,0.0953,0.1496,0.122,1.41,0.86,0.16,0.22,0.3618,0.262,0.2043,May 01/b,178.07,-0.0026,263069.0
AMGN,145970000000.0,0.0355,0.06509999999999999,1.0567,0.09849999999999999,1.17,0.88,8.7,9.24,0.6743000000000001,0.2626,0.17489999999999997,May 01/a,271.47,-0.0016,1281409.0
AMH,13880000000.0,0.0313,0.0316,0.0581,0.0329,,,0.69,0.69,0.2981,0.233,0.2232,May 01/a,37.49,-0.0037,518248.0
AMT,98980000000.0,0.0323,0.0471,0.8005,0.040999999999999995,,,11.59,12.56,0.5428000000000001,0.4592,0.1734,Apr 29/b,211.44,0.005600000000000001,664576.0
AMX,53900000000.0,0.0405,0.0177,0.08539999999999999,0.0331,0.71,0.66,1.72,2.14,0.43119999999999997,0.21420000000000003,0.0355,Apr 29/b,17.61,0.008,549930.0
AMZN,2144290000000.0,,0.11230000000000001,0.25239999999999996,0.1502,1.05,0.84,0.44,0.49,0.4916,0.1115,0.1014,May 01/a,201.98,-0.0055000000000000005,19584301.0
ANET,114730000000.0,,0.2416,0.3368,0.2993,3.93,3.31,0.0,0.0,0.6409,0.4227,0.4072,May 06/a,91.35,-0.0131,3929552.0
AON,76790000000.0,0.008100000000000001,0.055999999999999994,0.7417,0.1063,,,2.42,2.64,0.8925,0.257,0.1559,Apr 25/b,355.62,0.0008,375770.0
APD,60090000000.0,0.0269,0.0414,0.1045,0.052300000000000006,1.0,0.85,1.01,1.12,0.3201,0.2351,0.12869999999999998,May 01/b,270.01,0.0029,223260.0
APG,12860000000.0,,0.031400000000000004,0.0909,0.023799999999999998,1.47,1.38,0.99,1.02,0.2805,0.067,0.019799999999999998,May 01/b,45.79,0.0015,525825.0
APH,103650000000.0,0.0078000000000000005,0.1319,0.2753,0.1527,1.99,1.36,0.66,0.7,0.3394,0.2186,0.1558,Apr 23/b,85.69,0.005,2190238.0
