Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
AMH,13880000000.0,34.78,48.12,,7.78,1.94,63.4,17.55,-0.2609,-0.0242,0.3043,-0.1072,0.0874,37.48,-0.0039000000000000003,517636.0
AMT,98990000000.0,54.27,29.54,3.27,9.4,28.0,44.21,26.21,0.2681,0.17129999999999998,0.026000000000000002,0.1659,0.06309999999999999,211.46,0.005699999999999999,663465.0
AMX,53900000000.0,32.52,10.22,0.53,1.15,2.89,31.25,9.28,2.3658,0.099,-0.17600000000000002,0.6174000000000001,-0.0106,17.61,0.008,546553.0
AMZN,2143179999999.9998,32.93,27.83,1.92,3.3,7.0,21.81,102.99,0.1188,0.1723,0.3689,0.1716,0.18309999999999998,201.88,-0.006,19523271.0
ANET,114710000000.0,38.64,30.59,2.37,15.43,11.34,14.08,30.31,0.1242,0.1699,0.2737,0.1628,0.2504,91.33,-0.0132,3923830.0
AON,76790000000.0,30.3,18.79,2.97,4.7,10.97,57.74,29.09,0.0785,0.125,0.1442,0.10220000000000001,0.0764,355.63,0.0008,375242.0
APD,60070000000.0,39.23,20.66,8.92,5.0,4.09,37.48,,-0.0273,0.0805,0.1677,0.044000000000000004,0.0683,269.93,0.0026,223176.0
APG,12860000000.0,89.79,19.27,7.19,1.8,4.31,27.95,21.39,0.1288,0.1441,-0.1678,0.1249,0.1418,45.79,0.0014000000000000002,525442.0
APH,103630000000.0,41.51,29.38,2.19,6.18,10.06,61.99,46.61,0.4067,0.0966,0.1539,0.1893,0.1356,85.67,0.0048,2173064.0
APO,75180000000.0,23.24,14.05,1.61,3.01,4.53,4.54,18.29,0.0432,0.2076,0.1407,0.14429999999999998,0.8479000000000001,131.54,0.005600000000000001,1053719.0
APP,119810000000.0,63.93,30.74,1.4,23.33,208.2,217.43,47.3,0.7707999999999999,0.4357,0.8428,0.4571,0.3975,354.06,0.0074,3393583.0
APTV,14460000000.0,11.0,8.39,0.84,0.74,1.66,13.13,8.44,0.1362,0.11230000000000001,0.126,0.1313,0.071,66.4,-0.0085,535785.0
AR,12230000000.0,54.37,9.69,0.46,2.64,1.7,,12.92,8.0039,0.29760000000000003,,1.1931,0.1955,39.38,0.0083,1038358.0
ARCC,14850000000.0,10.56,10.72,,4.92,1.09,,,-0.132,-0.006999999999999999,,,,21.53,0.0007000000000000001,1275641.0
ARE,11730000000.0,89.02,29.43,2225.39,3.78,0.66,24.25,8.55,-0.0466,0.3425,-0.1042,0.0004,0.1543,67.8,-0.0118,583395.0
ARES,52600000000.0,93.09,24.8,3.77,11.33,7.9,29.18,22.66,0.2998,0.2586,0.1431,0.24710000000000001,0.31620000000000004,161.06,0.0074,545356.0
ARM,134270000000.00002,170.49,53.17,7.62,33.51,19.63,47.53,754.33,0.102,0.3301,0.18469999999999998,0.2237,0.19269999999999998,127.03,-0.0174,1803930.0
ARMK,10270000000.0,30.17,17.22,1.55,0.58,3.41,10.1,27.69,0.2484,0.17670000000000002,-0.1114,0.1943,0.03,39.2,0.008199999999999999,533530.0
AS,20650000000.0,100.29,38.84,2.66,3.79,3.96,48.93,148.26,0.5575,0.31170000000000003,,0.37689999999999996,0.2072,37.29,-0.0053,1701964.0
ASML,287980000000.0,30.86,24.17,1.37,8.74,15.23,29.29,28.45,0.3274,0.1377,0.24739999999999998,0.2254,0.1923,732.26,-0.011399999999999999,840184.0
ASX,21070000000.0,20.64,11.69,0.67,1.12,2.25,7.6,,0.39590000000000003,0.2968,0.128,0.307,0.0794,9.69,-0.0187,10085068.0
ATI,10720000000.0,27.5,20.49,1.34,2.4,5.81,22.54,57.37,0.20559999999999998,0.2507,0.0667,0.2054,0.0331,76.01,0.011399999999999999,758868.0
ATO,24940000000.0,21.92,20.21,3.17,5.56,1.9,45.76,,0.0582,0.0753,0.0943,0.0691,0.081,157.04,0.0113,403471.0
AU,22270000000.0,18.99,8.55,0.8,3.84,3.29,14.72,25.6,1.2612999999999999,0.0347,,0.23600000000000002,0.1131,44.23,0.0316,1405908.0
AUR,10670000000.0,,,,,5.95,9.2,,-0.0338,0.0444,-0.24760000000000001,0.0537,-0.294,6.03,0.0,7628829.0
AVGO,1079780000000.0,110.76,29.46,4.88,19.8,15.47,116.02,52.08,0.35810000000000003,0.17850000000000002,0.1391,0.22719999999999999,0.1869,229.64,-0.0038,7679630.0
AWK,27870000000.0,26.02,23.28,4.01,5.79,2.65,134.62,,0.061399999999999996,0.0729,0.09449999999999999,0.0649,0.054900000000000004,142.9,0.0074,265529.0
AXP,200490000000.0,19.99,16.45,1.59,2.66,6.43,3.82,17.72,0.0839,0.14529999999999998,0.11900000000000001,0.126,0.1084,286.17,-0.0034999999999999996,783956.0
